LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1742899277.818071,220751.000,33875,2,EL,1,100,-18395.000000
1742899277.884072,220817.000,33891,1,EL,1,100,-18394.599609
1742899277.951073,220884.000,33909,2,EL,1,100,-18393.800781
1742899278.018073,220951.000,33909,2,EL,1,100,-18393.400391
1742899278.084574,221017.500,33925,2,EL,1,100,-18393.199219
1742899278.151075,221084.000,33925,2,EL,1,100,-18393.599609
1742899278.218076,221151.000,33944,1,EL,1,100,-18393.000000
1742899278.284576,221217.500,33961,2,EL,1,100,-18393.599609
1742899278.351077,221284.000,33961,2,EL,1,100,-18393.800781
1742899278.418078,221351.000,33978,1,EL,1,100,-18393.400391
1742899278.484578,221417.500,33994,2,EL,1,100,-18394.000000
1742899278.551079,221484.000,33994,2,EL,1,100,-18393.199219
1742899278.618080,221551.000,34012,1,EL,1,100,-18392.199219
1742899278.684581,221617.500,34026,2,EL,1,100,-18392.000000
1742899278.751081,221684.000,34026,2,EL,1,100,-18392.000000
1742899278.817082,221750.000,34045,1,EL,1,100,-18391.199219
1742899278.884083,221817.000,34062,2,EL,1,100,-18390.400391
1742899278.951083,221884.000,34062,2,EL,1,100,-18390.199219
1742899279.018084,221951.000,34079,1,EL,1,100,-18389.199219
1742899279.084585,222017.500,34093,2,EL,1,100,-18389.000000
1742899279.151086,222084.000,34093,2,EL,1,100,-18388.199219
1742899279.217086,222150.000,34110,1,EL,1,100,-18386.800781
1742899279.284087,222217.000,34127,2,EL,1,100,-18385.800781
1742899279.351088,222284.000,34127,2,EL,1,100,-18384.400391
1742899279.418088,222351.000,34144,1,EL,1,100,-18382.599609
1742899279.484589,222417.500,34161,2,EL,1,100,-18382.400391
1742899279.551090,222484.000,34161,2,EL,1,100,-18381.599609
1742899279.617590,222550.500,34178,2,EL,1,100,-18380.800781
1742899279.684091,222617.000,34178,2,EL,1,100,-18380.599609
1742899279.751092,222684.000,34194,1,EL,1,100,-18380.000000
1742899279.817593,222750.500,34211,2,EL,1,100,-18379.800781
1742899279.884093,222817.000,34211,2,EL,1,100,-18378.199219
1742899279.951094,222884.000,34228,1,EL,1,100,-18377.199219
1742899280.017595,222950.500,34243,2,EL,1,100,-18376.800781
1742899280.084095,223017.000,34243,2,EL,1,100,-18375.800781
1742899280.151096,223084.000,34259,1,EL,1,100,-18375.800781
1742899280.217597,223150.500,34279,2,EL,1,100,-18375.800781
1742899280.284098,223217.000,34279,2,EL,1,100,-18375.400391
1742899280.351098,223284.000,34295,1,EL,1,100,-18375.199219
1742899280.417599,223350.500,34310,2,EL,1,100,-18375.000000
1742899280.484100,223417.000,34310,2,EL,1,100,-18374.599609
1742899280.551100,223484.000,34326,1,EL,1,100,-18374.400391
1742899280.617601,223550.500,34344,2,EL,1,100,-18373.199219
1742899280.684102,223617.000,34344,2,EL,1,100,-18373.000000
1742899280.750769,223683.667,34368,3,EL,1,100,-18372.599609
1742899280.817437,223750.333,34368,3,EL,1,100,-18372.400391
1742899280.884104,223817.000,34368,3,EL,1,100,-18372.000000
1742899280.951105,223884.000,34385,1,EL,1,100,-18371.800781
1742899281.017606,223950.500,34402,2,EL,1,100,-18371.199219
1742899281.084106,224017.000,34402,2,EL,1,100,-18371.599609
1742899281.151107,224084.000,34418,1,EL,1,100,-18372.000000
